ítem,Pregunta,Opción 1,Opción 2,Opción 3,Opción 4,Opción 5
Q1,"Si uno de mis amigos es elegido para responder en clase de matemáticas, me siento feliz por no haber sido yo.",1,2,3,4,5
Q2,Entro en pánico al comenzar la parte matemática de un examen estandarizado.,1,2,3,4,5
Q3,No puedo hacer preguntas sobre lo que no entendio en clase de matemáticas.,1,2,3,4,5
Q4,Me gusta hacer la tarea de matemáticas.,1,2,3,4,5
Q5,No me gustan las ecuaciones en los cursos de ciencia.,1,2,3,4,5
Q6,Entro en pánico cuando me dejan mucha tarea de matemáticas.,1,2,3,4,5
Q7,"Cuando tomo el libro de matemáticas para estudiar, me empieza a doler el estómago.",1,2,3,4,5
Q8,No puedo concentrarme en nada antes de un examen de matemáticas.,1,2,3,4,5
Q9,Quiero ser el tesorero de los clubes escolares en los que participo.,1,2,3,4,5
Q10,Tengo miedo de conocer mi calificación en matemáticas.,1,2,3,4,5
Q11,Me da miedo mostrarle al profesor los problemas que puedo resolver.,1,2,3,4,5
Q12,Puedo negarme a ayudar a un niño con su tarea por miedo a no poder resolver una pregunta.,1,2,3,4,5
Q13,Me da miedo que haya una prueba sorpresa de matemáticas.,1,2,3,4,5
Q14,Llego con esperanza al primer día de clases de matemáticas cada año.,1,2,3,4,5
Q15,No puedo estudiar bien para los exámenes de matemáticas porque me preocupa la calificación.,1,2,3,4,5
Q16,"Cuando abro mi libro de matemáticas y veo las páginas, siento que voy a reprobar.",1,2,3,4,5
Q17,Puedo preguntarle a mi profesor después de clase sobre un concepto que no entendio bien.,1,2,3,4,5
Q18,Me siento ansioso y pesimista mientras espero el resultado de un examen de matemáticas.,1,2,3,4,5
Q19,Prefiero aprender un tema con números o gráficos que con palabras.,1,2,3,4,5
Q20,"Cuando pienso en los temas que debo aprobar en matemáticas, siento que no podrá terminar la escuela.",1,2,3,4,5
Q21,No me gusta trabajar con números.,1,2,3,4,5
Q22,Me pongo nervioso cuando uno de mis amigos se da cuenta que no entindo­ la solución de un problema.,1,2,3,4,5
Q23,Tengo problemas para escuchar a mis profesores de matemáticas.,1,2,3,4,5
Q24,Las mejores partes de otras materias son aquellas relacionadas con las matemáticas.,1,2,3,4,5
Q25,Me pongo nervioso cuando me entero que la próxima clase es matemáticas.,1,2,3,4,5
Q26,No me gusta hacer cálculos en la vida diaria.,1,2,3,4,5
Q27,Entiendo mal algunos conceptos en las clases de matemáticas.,1,2,3,4,5
Q28,Entro en pánico cuando no recuerdo una formula necesaria para resolver un problema.,1,2,3,4,5
Q29,Me gusta revisar libros de matemáticas.,1,2,3,4,5
Q30,"Aunque creo que un vendedor se equivoca en la cuenta, no digo nada porque no puedo hacer el cállculo si me están mirando.",1,2,3,4,5
Q31,Me comparo con otros compañeros y siento que ellos entienden mejor las matemáticas que yo,1,2,3,4,5
Q32,Edad,,,,,
Q33,Género,,,,,
Q34,Materia favorita,,,,,
Q35,Deporte preferido,,,,,
Q36,Hora de dormir,,,,,
Q37,Horas de descanso,,,,,
Q38,Actividad preferida cuando está estresado,,,,,
Q39,Situación difícil en casa que pueda afectar su aprendizaje,,,,,
Q40,¿A qué le gustarÃ­a dedicarse en la adultez?,,,,,
Q41,cual  fue el promedio final ,,,,,
Q42,cual fue tu ultimo promedio en matemáticas,,,,,
